270                    0.8
280                    2.6
290                    6.9
300                   12.4
310                   19.4
320                   23.6
330                   24.9
340                   26.3
350                   27.9
360                   28.5
370                   28.5
380                   28.3
390                   27.7
400                   27.4
410                   26.0
420                   24.6
430                   23.1
440                   21.5
450                   19.7
460                   18.0
480                   14.2
500                   10.0
520                    7.0
540                    5.2
560                    2.3
580                    1.0
600                    0.4
620                    0.1
