  1      0      0    0.00000    0.00000
  2      1      0    1.00000    0.00000
  3      0      1    0.50000    0.86603
  4     -1      1   -0.50000    0.86603
  5     -1      0   -1.00000    0.00000
  6      0     -1   -0.50000   -0.86603
  7      1     -1    0.50000   -0.86603
  8      2      0    2.00000    0.00000
  9      1      1    1.50000    0.86603
 10      0      2    1.00000    1.73205
 11     -1      2    0.00000    1.73205
 12     -2      2   -1.00000    1.73205
 13     -2      1   -1.50000    0.86603
 14     -2      0   -2.00000    0.00000
 15     -1     -1   -1.50000   -0.86603
 16      0     -2   -1.00000   -1.73205
 17      1     -2    0.00000   -1.73205
 18      2     -2    1.00000   -1.73205
 19      2     -1    1.50000   -0.86603
 20      3      0    3.00000    0.00000
 21      2      1    2.50000    0.86603
 22      1      2    2.00000    1.73205
 23      0      3    1.50000    2.59808
 24     -1      3    0.50000    2.59808
 25     -2      3   -0.50000    2.59808
 26     -3      3   -1.50000    2.59808
 27     -3      2   -2.00000    1.73205
 28     -3      1   -2.50000    0.86603
 29     -3      0   -3.00000    0.00000
 30     -2     -1   -2.50000   -0.86603
 31     -1     -2   -2.00000   -1.73205
 32      0     -3   -1.50000   -2.59808
 33      1     -3   -0.50000   -2.59808
 34      2     -3    0.50000   -2.59808
 35      3     -3    1.50000   -2.59808
 36      3     -2    2.00000   -1.73205
 37      3     -1    2.50000   -0.86603
 38      4      0    4.00000    0.00000
 39      3      1    3.50000    0.86603
 40      2      2    3.00000    1.73205
 41      1      3    2.50000    2.59808
 42      0      4    2.00000    3.46410
 43     -1      4    1.00000    3.46410
 44     -2      4    0.00000    3.46410
 45     -3      4   -1.00000    3.46410
 46     -4      4   -2.00000    3.46410
 47     -4      3   -2.50000    2.59808
 48     -4      2   -3.00000    1.73205
 49     -4      1   -3.50000    0.86603
 50     -4      0   -4.00000    0.00000
 51     -3     -1   -3.50000   -0.86603
 52     -2     -2   -3.00000   -1.73205
 53     -1     -3   -2.50000   -2.59808
 54      0     -4   -2.00000   -3.46410
 55      1     -4   -1.00000   -3.46410
 56      2     -4    0.00000   -3.46410
 57      3     -4    1.00000   -3.46410
 58      4     -4    2.00000   -3.46410
 59      4     -3    2.50000   -2.59808
 60      4     -2    3.00000   -1.73205
 61      4     -1    3.50000   -0.86603
 62      5      0    5.00000    0.00000
 63      4      1    4.50000    0.86603
 64      3      2    4.00000    1.73205
 65      2      3    3.50000    2.59808
 66      1      4    3.00000    3.46410
 67      0      5    2.50000    4.33013
 68     -1      5    1.50000    4.33013
 69     -2      5    0.50000    4.33013
 70     -3      5   -0.50000    4.33013
 71     -4      5   -1.50000    4.33013
 72     -5      5   -2.50000    4.33013
 73     -5      4   -3.00000    3.46410
 74     -5      3   -3.50000    2.59808
 75     -5      2   -4.00000    1.73205
 76     -5      1   -4.50000    0.86603
 77     -5      0   -5.00000    0.00000
 78     -4     -1   -4.50000   -0.86603
 79     -3     -2   -4.00000   -1.73205
 80     -2     -3   -3.50000   -2.59808
 81     -1     -4   -3.00000   -3.46410
 82      0     -5   -2.50000   -4.33013
 83      1     -5   -1.50000   -4.33013
 84      2     -5   -0.50000   -4.33013
 85      3     -5    0.50000   -4.33013
 86      4     -5    1.50000   -4.33013
 87      5     -5    2.50000   -4.33013
 88      5     -4    3.00000   -3.46410
 89      5     -3    3.50000   -2.59808
 90      5     -2    4.00000   -1.73205
 91      5     -1    4.50000   -0.86603
 92      6      0    6.00000    0.00000
 93      5      1    5.50000    0.86603
 94      4      2    5.00000    1.73205
 95      3      3    4.50000    2.59808
 96      2      4    4.00000    3.46410
 97      1      5    3.50000    4.33013
 98      0      6    3.00000    5.19617
 99     -1      6    2.00000    5.19617
100     -2      6    1.00000    5.19617
101     -3      6    0.00000    5.19617
102     -4      6   -1.00000    5.19617
103     -5      6   -2.00000    5.19617
104     -6      6   -3.00000    5.19617
105     -6      5   -3.50000    4.33013
106     -6      4   -4.00000    3.46410
107     -6      3   -4.50000    2.59808
108     -6      2   -5.00000    1.73205
109     -6      1   -5.50000    0.86603
110     -6      0   -6.00000    0.00000
111     -5     -1   -5.50000   -0.86603
112     -4     -2   -5.00000   -1.73205
113     -3     -3   -4.50000   -2.59808
114     -2     -4   -4.00000   -3.46410
115     -1     -5   -3.50000   -4.33013
116      0     -6   -3.00000   -5.19617
117      1     -6   -2.00000   -5.19617
118      2     -6   -1.00000   -5.19617
119      3     -6    0.00000   -5.19617
120      4     -6    1.00000   -5.19617
121      5     -6    2.00000   -5.19617
122      6     -6    3.00000   -5.19617
123      6     -5    3.50000   -4.33013
124      6     -4    4.00000   -3.46410
125      6     -3    4.50000   -2.59808
126      6     -2    5.00000   -1.73205
127      6     -1    5.50000   -0.86603
128      7      0    7.00000    0.00000
129      6      1    6.50000    0.86603
130      5      2    6.00000    1.73205
131      4      3    5.50000    2.59808
132      3      4    5.00000    3.46410
133      2      5    4.50000    4.33013
134      1      6    4.00000    5.19617
135      0      7    3.50000    6.06217
136     -1      7    2.50000    6.06217
137     -2      7    1.50000    6.06217
138     -3      7    0.50000    6.06217
139     -4      7   -0.50000    6.06217
140     -5      7   -1.50000    6.06217
141     -6      7   -2.50000    6.06217
142     -7      7   -3.50000    6.06217
143     -7      6   -4.00000    5.19617
144     -7      5   -4.50000    4.33013
145     -7      4   -5.00000    3.46410
146     -7      3   -5.50000    2.59808
147     -7      2   -6.00000    1.73205
148     -7      1   -6.50000    0.86603
149     -7      0   -7.00000    0.00000
150     -6     -1   -6.50000   -0.86603
151     -5     -2   -6.00000   -1.73205
152     -4     -3   -5.50000   -2.59808
153     -3     -4   -5.00000   -3.46410
154     -2     -5   -4.50000   -4.33013
155     -1     -6   -4.00000   -5.19617
156      0     -7   -3.50000   -6.06217
157      1     -7   -2.50000   -6.06217
158      2     -7   -1.50000   -6.06217
159      3     -7   -0.50000   -6.06217
160      4     -7    0.50000   -6.06217
161      5     -7    1.50000   -6.06217
162      6     -7    2.50000   -6.06217
163      7     -7    3.50000   -6.06217
164      7     -6    4.00000   -5.19617
165      7     -5    4.50000   -4.33013
166      7     -4    5.00000   -3.46410
167      7     -3    5.50000   -2.59808
168      7     -2    6.00000   -1.73205
169      7     -1    6.50000   -0.86603
170      8      0    8.00000    0.00000
171      7      1    7.50000    0.86603
172      6      2    7.00000    1.73205
173      5      3    6.50000    2.59808
174      4      4    6.00000    3.46410
175      3      5    5.50000    4.33013
176      2      6    5.00000    5.19617
177      1      7    4.50000    6.06217
178      0      8    4.00000    6.92820
179     -1      8    3.00000    6.92820
180     -2      8    2.00000    6.92820
181     -3      8    1.00000    6.92820
182     -4      8    0.00000    6.92820
183     -5      8   -1.00000    6.92820
184     -6      8   -2.00000    6.92820
185     -7      8   -3.00000    6.92820
186     -8      8   -4.00000    6.92820
187     -8      7   -4.50000    6.06217
188     -8      6   -5.00000    5.19617
189     -8      5   -5.50000    4.33013
190     -8      4   -6.00000    3.46410
191     -8      3   -6.50000    2.59808
192     -8      2   -7.00000    1.73205
193     -8      1   -7.50000    0.86603
194     -8      0   -8.00000    0.00000
195     -7     -1   -7.50000   -0.86603
196     -6     -2   -7.00000   -1.73205
197     -5     -3   -6.50000   -2.59808
198     -4     -4   -6.00000   -3.46410
199     -3     -5   -5.50000   -4.33013
200     -2     -6   -5.00000   -5.19617
201     -1     -7   -4.50000   -6.06217
202      0     -8   -4.00000   -6.92820
203      1     -8   -3.00000   -6.92820
204      2     -8   -2.00000   -6.92820
205      3     -8   -1.00000   -6.92820
206      4     -8    0.00000   -6.92820
207      5     -8    1.00000   -6.92820
208      6     -8    2.00000   -6.92820
209      7     -8    3.00000   -6.92820
210      8     -8    4.00000   -6.92820
211      8     -7    4.50000   -6.06217
212      8     -6    5.00000   -5.19617
213      8     -5    5.50000   -4.33013
214      8     -4    6.00000   -3.46410
215      8     -3    6.50000   -2.59808
216      8     -2    7.00000   -1.73205
217      8     -1    7.50000   -0.86603
218      9      0    9.00000    0.00000
219      8      1    8.50000    0.86603
220      7      2    8.00000    1.73205
221      6      3    7.50000    2.59808
222      5      4    7.00000    3.46410
223      4      5    6.50000    4.33013
224      3      6    6.00000    5.19617
225      2      7    5.50000    6.06217
226      1      8    5.00000    6.92820
227      0      9    4.50000    7.79423
228     -1      9    3.50000    7.79423
229     -2      9    2.50000    7.79423
230     -3      9    1.50000    7.79423
231     -4      9    0.50000    7.79423
232     -5      9   -0.50000    7.79423
233     -6      9   -1.50000    7.79423
234     -7      9   -2.50000    7.79423
235     -8      9   -3.50000    7.79423
236     -9      9   -4.50000    7.79423
237     -9      8   -5.00000    6.92820
238     -9      7   -5.50000    6.06217
239     -9      6   -6.00000    5.19617
240     -9      5   -6.50000    4.33013
241     -9      4   -7.00000    3.46410
242     -9      3   -7.50000    2.59808
243     -9      2   -8.00000    1.73205
244     -9      1   -8.50000    0.86603
245     -9      0   -9.00000    0.00000
246     -8     -1   -8.50000   -0.86603
247     -7     -2   -8.00000   -1.73205
248     -6     -3   -7.50000   -2.59808
249     -5     -4   -7.00000   -3.46410
250     -4     -5   -6.50000   -4.33013
251     -3     -6   -6.00000   -5.19617
252     -2     -7   -5.50000   -6.06217
253     -1     -8   -5.00000   -6.92820
254      0     -9   -4.50000   -7.79423
